name,atom,M0,P11
ASP,HB3,0.0563104382958,5.52103979 0.0 0.0 5.52103979 0.0 5.52103979
ASP,2HB,0.0563104382958,5.52103979 0.0 0.0 5.52103979 0.0 5.52103979
ASP,CG,0.719300417739,8.79698225 0.0 0.0 8.79698225 0.0 8.79698225
ASP,O,-0.415635646091,10.73690086 0.0 0.0 10.73690086 0.0 10.73690086
ASP,OD,-0.706239175736,9.57168741 0.0 0.0 9.57168741 0.0 9.57168741
ASP,OD1,-0.706239175736,9.57168741 0.0 0.0 9.57168741 0.0 9.57168741
ASP,OD2,-0.706239175736,9.57168741 0.0 0.0 9.57168741 0.0 9.57168741
CYS,N,-0.328286528535,5.34719807 0.0 0.0 5.34719807 0.0 5.34719807
CYSH,N,-0.328286528535,5.34719807 0.0 0.0 5.34719807 0.0 5.34719807
CYS,HN,0.233083604202,2.24103088 0.0 0.0 2.24103088 0.0 2.24103088
CYSH,HN,0.233083604202,2.24103088 0.0 0.0 2.24103088 0.0 2.24103088
CYS,H,0.233083604202,2.24103088 0.0 0.0 2.24103088 0.0 2.24103088
CYSH,H,0.233083604202,2.24103088 0.0 0.0 2.24103088 0.0 2.24103088
CYS,CA,-0.0368996584322,4.97184798 0.0 0.0 4.97184798 0.0 4.97184798
CYSH,CA,-0.0368996584322,4.97184798 0.0 0.0 4.97184798 0.0 4.97184798
CYS,HA,0.1368064119,1.28210102 0.0 0.0 1.28210102 0.0 1.28210102
CYSH,HA,0.1368064119,1.28210102 0.0 0.0 1.28210102 0.0 1.28210102
CYS,CB,-0.393934002967,5.49846182 0.0 0.0 5.49846182 0.0 5.49846182
CYSH,CB,-0.393934002967,5.49846182 0.0 0.0 5.49846182 0.0 5.49846182
CYS,C,0.550086951642,6.8140353 0.0 0.0 6.8140353 0.0 6.8140353
CYSH,C,0.550086951642,6.8140353 0.0 0.0 6.8140353 0.0 6.8140353
CYS,HB,0.172378012311,3.21951897 0.0 0.0 3.21951897 0.0 3.21951897
CYSH,HB,0.172378012311,3.21951897 0.0 0.0 3.21951897 0.0 3.21951897
CYS,HB2,0.172378012311,3.21951897 0.0 0.0 3.21951897 0.0 3.21951897
CYSH,HB2,0.172378012311,3.21951897 0.0 0.0 3.21951897 0.0 3.21951897
CYS,1HB,0.172378012311,3.21951897 0.0 0.0 3.21951897 0.0 3.21951897
CYSH,1HB,0.172378012311,3.21951897 0.0 0.0 3.21951897 0.0 3.21951897
CYS,HB1,0.172378012311,3.21951897 0.0 0.0 3.21951897 0.0 3.21951897
CYSH,HB1,0.172378012311,3.21951897 0.0 0.0 3.21951897 0.0 3.21951897
CYS,HB3,0.172378012311,3.21951897 0.0 0.0 3.21951897 0.0 3.21951897
CYSH,HB3,0.172378012311,3.21951897 0.0 0.0 3.21951897 0.0 3.21951897
CYS,2HB,0.172378012311,3.21951897 0.0 0.0 3.21951897 0.0 3.21951897
CYSH,2HB,0.172378012311,3.21951897 0.0 0.0 3.21951897 0.0 3.21951897
CYS,SG,-0.202156136964,23.69581486 0.0 0.0 23.69581486 0.0 23.69581486
CYSH,SG,-0.202156136964,23.69581486 0.0 0.0 23.69581486 0.0 23.69581486
CYS,S,-0.202156136964,23.69581486 0.0 0.0 23.69581486 0.0 23.69581486
CYSH,S,-0.202156136964,23.69581486 0.0 0.0 23.69581486 0.0 23.69581486
CYS,O,-0.468018915289,7.74877946 0.0 0.0 7.74877946 0.0 7.74877946
CYSH,O,-0.468018915289,7.74877946 0.0 0.0 7.74877946 0.0 7.74877946
CYS,HG,0.164562249821,1.17809172 0.0 0.0 1.17809172 0.0 1.17809172
CYSH,HG,0.164562249821,1.17809172 0.0 0.0 1.17809172 0.0 1.17809172
CYS,HG1,0.164562249821,1.17809172 0.0 0.0 1.17809172 0.0 1.17809172
CYSH,HG1,0.164562249821,1.17809172 0.0 0.0 1.17809172 0.0 1.17809172
GLN,N,-0.36603426556,13.7634284 0.0 0.0 13.7634284 0.0 13.7634284
GLN,HN,0.236683935117,0.0223140836 0.0 0.0 0.0223140836 0.0 0.0223140836
GLN,H,0.236683935117,0.0223140836 0.0 0.0 0.0223140836 0.0 0.0223140836
GLN,CA,-0.00982874036982,0.0384188511 0.0 0.0 0.0384188511 0.0 0.0384188511
GLN,HA,0.111910314057,4.01450223 0.0 0.0 4.01450223 0.0 4.01450223
GLN,CB,-0.244411846919,-0.00276728129 0.0 0.0 -0.00276728129 0.0 -0.00276728129
GLN,C,0.505880403908,-0.232208371 0.0 0.0 -0.232208371 0.0 -0.232208371
GLN,HB,0.124534796754,5.93252378 0.0 0.0 5.93252378 0.0 5.93252378
GLN,HB2,0.124534796754,5.93252378 0.0 0.0 5.93252378 0.0 5.93252378
GLN,1HB,0.124534796754,5.93252378 0.0 0.0 5.93252378 0.0 5.93252378
